variable_family,variable_raw,variable_harmonized,analytic_variable_recommended,role_in_analysis,evidence_source,evidence_level,decision_status,final_rule,unresolved_issue,recommended_proxy,downstream_use,notes
seguimiento,FECDEF,fecha_muerte,date_of_death,follow_up_core,audit+harmonization,documentary_internal,closed,Parsear fecha; conservar raw y parsed.,Formatos mixtos,none,mortality+quality,Usar con ESTVIT.
seguimiento,FUC,fecha_ultimo_contacto,date_last_contact,follow_up_core,audit+harmonization,documentary_internal,closed,Parsear fecha; conservar raw y parsed.,Formatos mixtos,none,quality,Usar con ESTVIT.
diagnostico,FECDIAG,fecha_diagnostico,incident_year,incidence_core,audit+harmonization,documentary_internal,closed,Extraer anio de diagnostico a partir de FECDIAG parsed.,Formatos mixtos,none,incidence,Alinear con denominadores.
tumor,TOPO,topografia_icdo,topography_icdo,core_case_definition,audit+harmonization,documentary_internal,closed,Conservar raw ICD-O topography.,Sitios unknown a revisar luego,none,incidence+mortality+quality,Base para PSU candidate futuro.
tumor,MORF,morfologia_icdo,morphology_icdo,core_case_definition,audit+harmonization,documentary_internal,closed,Conservar raw morphology.,none,none,incidence+mortality+quality,Base para MV candidate.
multiple_primary,PMSEQ,multiple_primary__pmseq,multiple_primary_seq,supporting_qc,harmonization_summary,internal_rule,derived,Mantener separado.,Semantica final pendiente,none,quality_only,No colapsar con PMTOT/PMCOD.
multiple_primary,PMTOT,multiple_primary__pmtot,multiple_primary_total,supporting_qc,harmonization_summary,internal_rule,derived,Mantener separado.,Semantica final pendiente,none,quality_only,No colapsar con PMSEQ/PMCOD.
multiple_primary,PMCOD,multiple_primary__pmcod,multiple_primary_code,supporting_qc,harmonization_summary,internal_rule,derived,Mantener separado.,Semantica final pendiente,none,quality_only,No colapsar con PMSEQ/PMTOT.
mortalidad,FECDEF,fecha_muerte,death_year,mortality_core,audit+harmonization,documentary_internal,closed,Derivar anio de defuncion a partir de fecha_muerte parseada.,Formatos mixtos,fecha_muerte,mortality+quality,Usar para tasas anuales y del periodo.
mortalidad,FECDEF,fecha_muerte,death_event_official,mortality_core,audit+harmonization,documentary_internal,closed,Tratar fecha_muerte no vacia como evento oficial de muerte registrada.,Conflictos con ESTVIT se auditan pero no anulan la fecha,fecha_muerte,mortality+quality,Evidencia primaria oficial de mortalidad.
mortalidad,FECDEF|ESTVIT,fecha_muerte|estado_vital,death_event_combined,mortality_core,analytic audit rule,analytic_rule,closed,Construir una senal combinada de auditoria: fecha_muerte no vacia OR estado_vital=dead.,No usar para tasas oficiales salvo validacion futura,death_event_official,mortality+quality,Solo sensibilidad y medicion de perdida residual.
mortalidad,residence_analytic_area,residence_analytic_area,analytic_inclusion_mortality,mortality_core,MASTER decision + analytic rule,analytic_rule,closed,Incluir solo residentes provinciales con anio de defuncion utilizable en 2015-2022.,Muertes sin fecha utilizable pasan a unknown,analytic_inclusion_incidence,mortality+quality,Regla conservadora para mortalidad.
mortalidad,ESTVIT|FECDEF,estado_vital|fecha_muerte,flag_vital_date_conflict,mortality_core,analytic audit rule,analytic_rule,closed,Marcar alive con fecha_muerte o dead sin fecha_muerte como discordancia prioritaria.,Revisar si corresponde problema de captura o actualizacion,none,mortality+quality,La fecha de muerte prevalece para evento oficial cuando existe.
